dA,dB,x,y
dA: 8.91  dB: 15.40  -> X: 2.24 cm, Y: 0.00 cm
dA: 8.87  dB: 15.44  -> X: 2.18 cm, Y: 0.00 cm
dA: 8.84  dB: 15.43  -> X: 2.17 cm, Y: 0.00 cm
dA: 8.87  dB: 15.40  -> X: 2.22 cm, Y: 0.00 cm
dA: 8.85  dB: 15.44  -> X: 2.17 cm, Y: 0.00 cm
dA: 9.72  dB: 15.38  -> X: 2.76 cm, Y: 0.00 cm
dA: 8.87  dB: 15.39  -> X: 2.23 cm, Y: 0.00 cm
dA: 7.39  dB: 15.43  -> X: 1.39 cm, Y: 0.00 cm
dA: 7.95  dB: 14.12  -> X: 2.96 cm, Y: 0.00 cm
dA: 8.74  dB: 16.19  -> X: 1.31 cm, Y: 0.00 cm
dA: 8.57  dB: 16.98  -> X: 0.34 cm, Y: 0.00 cm
dA: 10.90  dB: 15.29  -> X: 3.67 cm, Y: 0.00 cm
dA: 407.36  dB: 22.70  -> X: 5521.69 cm, Y: 0.00 cm
dA: 11.69  dB: 118.52  -> X: -456.21 cm, Y: 0.00 cm
dA: 13.28  dB: 25.67  -> X: -8.58 cm, Y: 0.00 cm
dA: 16.58  dB: 32.50  -> X: -18.55 cm, Y: 0.00 cm
dA: 21.60  dB: 26.85  -> X: -0.98 cm, Y: 0.00 cm
dA: 25.42  dB: 29.60  -> X: -0.15 cm, Y: 0.00 cm
dA: 30.53  dB: 34.72  -> X: -1.60 cm, Y: 0.00 cm
dA: 35.46  dB: 42.43  -> X: -10.61 cm, Y: 0.00 cm
dA: 5.92  dB: 27.09  -> X: -15.80 cm, Y: 0.00 cm
dA: 3.10  dB: 4.25  -> X: 7.22 cm, Y: 0.00 cm
dA: 3.32  dB: 3.80  -> X: 7.39 cm, Y: 0.00 cm
dA: 42.93  dB: 285.75  -> X: -2652.78 cm, Y: 0.00 cm
dA: 48.20  dB: 1194.56  -> X: -47480.87 cm, Y: 0.00 cm
dA: 442.97  dB: 1194.51  -> X: -41013.38 cm, Y: 0.00 cm
dA: 35.03  dB: 1194.55  -> X: -47516.50 cm, Y: 0.00 cm
dA: 66.35  dB: 1194.66  -> X: -47419.30 cm, Y: 0.00 cm
dA: 64.51  dB: 4.45  -> X: 145.55 cm, Y: 0.00 cm
dA: 64.09  dB: 819.03  -> X: -22216.06 cm, Y: 0.00 cm
dA: 64.16  dB: 69.30  -> X: -15.36 cm, Y: 29.26 cm
dA: 64.17  dB: 65.19  -> X: 3.11 cm, Y: 32.91 cm
dA: 64.41  dB: 64.83  -> X: 5.70 cm, Y: 33.03 cm
dA: 64.31  dB: 64.62  -> X: 6.15 cm, Y: 32.75 cm
dA: 64.03  dB: 64.19  -> X: 6.82 cm, Y: 32.07 cm
dA: 64.06  dB: 64.61  -> X: 5.12 cm, Y: 32.43 cm
dA: 64.03  dB: 64.34  -> X: 6.15 cm, Y: 32.20 cm
dA: 64.03  dB: 64.34  -> X: 6.20 cm, Y: 32.20 cm
dA: 64.02  dB: 64.62  -> X: 4.95 cm, Y: 32.39 cm
dA: 64.01  dB: 64.44  -> X: 5.66 cm, Y: 32.25 cm
dA: 63.88  dB: 64.48  -> X: 4.93 cm, Y: 32.11 cm
dA: 63.73  dB: 64.20  -> X: 5.50 cm, Y: 31.72 cm
dA: 63.72  dB: 64.34  -> X: 4.89 cm, Y: 31.81 cm
dA: 62.46  dB: 63.92  -> X: 1.33 cm, Y: 29.57 cm
dA: 62.36  dB: 63.92  -> X: 0.95 cm, Y: 29.38 cm
dA: 62.39  dB: 64.19  -> X: -0.10 cm, Y: 29.46 cm
dA: 62.52  dB: 64.19  -> X: 0.43 cm, Y: 29.72 cm
dA: 63.44  dB: 64.20  -> X: 4.24 cm, Y: 31.33 cm
dA: 63.61  dB: 64.47  -> X: 3.84 cm, Y: 31.72 cm
dA: 64.03  dB: 64.35  -> X: 6.11 cm, Y: 32.20 cm
dA: 64.30  dB: 60.83  -> X: 21.97 cm, Y: 25.02 cm
dA: 63.86  dB: 64.08  -> X: 6.57 cm, Y: 31.78 cm
dA: 63.71  dB: 64.07  -> X: 5.97 cm, Y: 31.60 cm
dA: 63.85  dB: 64.62  -> X: 4.20 cm, Y: 32.16 cm
dA: 63.89  dB: 64.48  -> X: 4.96 cm, Y: 32.13 cm
dA: 64.03  dB: 64.76  -> X: 4.38 cm, Y: 32.50 cm
dA: 64.03  dB: 64.16  -> X: 6.94 cm, Y: 32.05 cm
dA: 64.55  dB: 63.91  -> X: 10.24 cm, Y: 32.20 cm
dA: 63.88  dB: 63.92  -> X: 7.33 cm, Y: 31.66 cm
dA: 64.15  dB: 64.07  -> X: 7.84 cm, Y: 32.07 cm
dA: 64.02  dB: 64.20  -> X: 6.74 cm, Y: 32.07 cm
dA: 60.21  dB: 64.06  -> X: -8.41 cm, Y: 23.02 cm
dA: 63.89  dB: 64.29  -> X: 5.79 cm, Y: 31.99 cm
dA: 64.18  dB: 64.02  -> X: 8.16 cm, Y: 32.05 cm
dA: 63.89  dB: 63.86  -> X: 7.62 cm, Y: 31.60 cm
dA: 63.59  dB: 63.78  -> X: 6.70 cm, Y: 31.21 cm
dA: 63.59  dB: 63.91  -> X: 6.14 cm, Y: 31.33 cm
dA: 63.64  dB: 64.05  -> X: 5.77 cm, Y: 31.50 cm
dA: 63.68  dB: 64.25  -> X: 5.06 cm, Y: 31.69 cm
dA: 63.64  dB: 64.30  -> X: 4.70 cm, Y: 31.67 cm
dA: 63.88  dB: 64.19  -> X: 6.16 cm, Y: 31.90 cm
dA: 63.66  dB: 64.34  -> X: 4.60 cm, Y: 31.73 cm
dA: 10.34  dB: 64.05  -> X: -125.68 cm, Y: 0.00 cm
dA: 9.17  dB: 64.03  -> X: -126.37 cm, Y: 0.00 cm
dA: 4.44  dB: 64.06  -> X: -128.61 cm, Y: 0.00 cm
dA: 2.22  dB: 64.05  -> X: -129.08 cm, Y: 0.00 cm
dA: 3.16  dB: 64.32  -> X: -130.09 cm, Y: 0.00 cm
dA: 2.51  dB: 64.06  -> X: -129.06 cm, Y: 0.00 cm
dA: 3.40  dB: 64.06  -> X: -128.88 cm, Y: 0.00 cm
dA: 63.36  dB: 64.06  -> X: 4.54 cm, Y: 31.12 cm
dA: 63.23  dB: 64.20  -> X: 3.37 cm, Y: 31.01 cm
dA: 63.32  dB: 64.19  -> X: 3.78 cm, Y: 31.14 cm
dA: 63.36  dB: 63.91  -> X: 5.17 cm, Y: 31.02 cm
dA: 63.36  dB: 63.92  -> X: 5.12 cm, Y: 31.03 cm
dA: 63.08  dB: 64.04  -> X: 3.41 cm, Y: 30.70 cm
dA: 63.15  dB: 64.06  -> X: 3.67 cm, Y: 30.82 cm
dA: 63.39  dB: 63.91  -> X: 5.29 cm, Y: 31.07 cm
dA: 63.34  dB: 64.19  -> X: 3.88 cm, Y: 31.18 cm
dA: 63.40  dB: 64.10  -> X: 4.56 cm, Y: 31.21 cm
dA: 63.48  dB: 64.06  -> X: 5.07 cm, Y: 31.30 cm
dA: 48.53  dB: 58.86  -> X: -29.50 cm, Y: 0.00 cm
dA: 56.76  dB: 62.49  -> X: -15.31 cm, Y: 0.00 cm
dA: 54.57  dB: 63.50  -> X: -27.64 cm, Y: 0.00 cm
dA: 56.69  dB: 62.79  -> X: -16.77 cm, Y: 0.00 cm
dA: 53.08  dB: 63.58  -> X: -33.34 cm, Y: 0.00 cm
dA: 57.50  dB: 64.04  -> X: -19.00 cm, Y: 0.00 cm
dA: 54.75  dB: 64.34  -> X: -30.56 cm, Y: 0.00 cm
dA: 54.71  dB: 64.30  -> X: -30.53 cm, Y: 0.00 cm
dA: 62.89  dB: 63.63  -> X: 4.37 cm, Y: 30.18 cm
dA: 62.93  dB: 63.35  -> X: 5.77 cm, Y: 30.04 cm
dA: 62.79  dB: 63.07  -> X: 6.32 cm, Y: 29.62 cm
dA: 62.90  dB: 64.19  -> X: 2.05 cm, Y: 30.45 cm
dA: 54.69  dB: 63.16  -> X: -25.78 cm, Y: 0.00 cm
dA: 54.76  dB: 64.61  -> X: -31.69 cm, Y: 0.00 cm
dA: 54.85  dB: 62.37  -> X: -21.90 cm, Y: 0.00 cm
dA: 57.61  dB: 64.15  -> X: -19.07 cm, Y: 0.00 cm
dA: 58.13  dB: 63.92  -> X: -16.06 cm, Y: 9.79 cm
dA: 63.91  dB: 64.39  -> X: 5.42 cm, Y: 32.09 cm
dA: 55.39  dB: 64.05  -> X: -26.98 cm, Y: 0.00 cm
dA: 54.90  dB: 64.43  -> X: -30.43 cm, Y: 0.00 cm
dA: 54.86  dB: 64.48  -> X: -30.75 cm, Y: 0.00 cm
dA: 54.87  dB: 64.34  -> X: -30.12 cm, Y: 0.00 cm
dA: 54.81  dB: 64.18  -> X: -29.66 cm, Y: 0.00 cm
dA: 54.83  dB: 64.48  -> X: -30.86 cm, Y: 0.00 cm
dA: 54.86  dB: 64.49  -> X: -30.80 cm, Y: 0.00 cm
dA: 54.90  dB: 64.20  -> X: -29.42 cm, Y: 0.00 cm
dA: 57.98  dB: 64.34  -> X: -18.44 cm, Y: 0.00 cm
dA: 57.76  dB: 64.34  -> X: -19.28 cm, Y: 0.00 cm
dA: 57.74  dB: 64.48  -> X: -19.96 cm, Y: 0.00 cm
dA: 54.83  dB: 64.48  -> X: -30.88 cm, Y: 0.00 cm
dA: 60.73  dB: 64.48  -> X: -8.15 cm, Y: 24.42 cm
dA: 55.98  dB: 64.45  -> X: -26.51 cm, Y: 0.00 cm
dA: 57.69  dB: 64.76  -> X: -21.34 cm, Y: 0.00 cm
dA: 57.70  dB: 64.48  -> X: -20.11 cm, Y: 0.00 cm
dA: 57.65  dB: 64.47  -> X: -20.26 cm, Y: 0.00 cm
dA: 57.94  dB: 64.48  -> X: -19.19 cm, Y: 0.00 cm
dA: 60.49  dB: 63.65  -> X: -5.56 cm, Y: 24.57 cm
dA: 60.57  dB: 63.44  -> X: -4.36 cm, Y: 24.99 cm
dA: 58.26  dB: 63.69  -> X: -14.55 cm, Y: 12.57 cm
dA: 55.14  dB: 64.25  -> X: -28.74 cm, Y: 0.00 cm
dA: 57.66  dB: 64.30  -> X: -19.46 cm, Y: 0.00 cm
dA: 55.95  dB: 64.47  -> X: -26.69 cm, Y: 0.00 cm
dA: 58.13  dB: 64.61  -> X: -19.02 cm, Y: 0.00 cm
dA: 60.57  dB: 64.88  -> X: -10.55 cm, Y: 23.07 cm
dA: 55.62  dB: 64.90  -> X: -29.77 cm, Y: 0.00 cm
dA: 60.54  dB: 60.91  -> X: 6.02 cm, Y: 24.57 cm
dA: 55.09  dB: 64.62  -> X: -30.53 cm, Y: 0.00 cm
dA: 54.75  dB: 62.27  -> X: -21.82 cm, Y: 0.00 cm
dA: 58.32  dB: 64.20  -> X: -16.52 cm, Y: 10.14 cm
dA: 61.09  dB: 64.19  -> X: -5.44 cm, Y: 26.04 cm
dA: 63.35  dB: 64.19  -> X: 3.90 cm, Y: 31.19 cm
dA: 63.25  dB: 64.33  -> X: 2.91 cm, Y: 31.10 cm
dA: 63.62  dB: 64.02  -> X: 5.77 cm, Y: 31.44 cm
dA: 63.35  dB: 64.06  -> X: 4.49 cm, Y: 31.11 cm
dA: 63.36  dB: 63.91  -> X: 5.20 cm, Y: 31.03 cm
dA: 63.39  dB: 64.09  -> X: 4.51 cm, Y: 31.18 cm
dA: 63.36  dB: 63.91  -> X: 5.17 cm, Y: 31.04 cm
dA: 63.36  dB: 63.91  -> X: 5.15 cm, Y: 31.03 cm
dA: 63.08  dB: 64.34  -> X: 2.18 cm, Y: 30.82 cm
dA: 63.08  dB: 64.34  -> X: 2.18 cm, Y: 30.82 cm
dA: 63.37  dB: 64.38  -> X: 3.22 cm, Y: 31.32 cm
dA: 63.49  dB: 64.47  -> X: 3.33 cm, Y: 31.54 cm
dA: 61.71  dB: 64.24  -> X: -3.16 cm, Y: 27.80 cm
dA: 63.36  dB: 64.43  -> X: 2.95 cm, Y: 31.31 cm
dA: 63.36  dB: 64.33  -> X: 3.39 cm, Y: 31.28 cm
dA: 63.34  dB: 64.18  -> X: 3.93 cm, Y: 31.17 cm
dA: 63.36  dB: 64.32  -> X: 3.39 cm, Y: 31.27 cm
dA: 63.22  dB: 64.19  -> X: 3.40 cm, Y: 30.99 cm
dA: 63.21  dB: 64.05  -> X: 3.96 cm, Y: 30.91 cm
dA: 63.04  dB: 64.16  -> X: 2.72 cm, Y: 30.68 cm
dA: 63.32  dB: 64.04  -> X: 4.44 cm, Y: 31.05 cm
dA: 63.51  dB: 63.91  -> X: 5.80 cm, Y: 31.22 cm
dA: 63.50  dB: 63.94  -> X: 5.63 cm, Y: 31.22 cm
dA: 63.50  dB: 64.03  -> X: 5.26 cm, Y: 31.30 cm
dA: 63.17  dB: 63.90  -> X: 4.40 cm, Y: 30.76 cm
dA: 62.89  dB: 64.18  -> X: 2.05 cm, Y: 30.43 cm
dA: 62.92  dB: 63.91  -> X: 3.34 cm, Y: 30.38 cm
dA: 62.97  dB: 63.92  -> X: 3.49 cm, Y: 30.46 cm
dA: 63.08  dB: 64.20  -> X: 2.75 cm, Y: 30.76 cm
dA: 63.04  dB: 63.87  -> X: 4.02 cm, Y: 30.55 cm
dA: 63.31  dB: 63.92  -> X: 4.93 cm, Y: 30.97 cm
dA: 63.23  dB: 63.87  -> X: 4.76 cm, Y: 30.82 cm
dA: 63.22  dB: 64.04  -> X: 4.01 cm, Y: 30.92 cm
dA: 63.35  dB: 64.33  -> X: 3.34 cm, Y: 31.26 cm
dA: 63.21  dB: 64.33  -> X: 2.76 cm, Y: 31.04 cm
dA: 63.36  dB: 64.37  -> X: 3.19 cm, Y: 31.29 cm
dA: 63.39  dB: 64.22  -> X: 3.97 cm, Y: 31.26 cm
dA: 63.36  dB: 64.06  -> X: 4.56 cm, Y: 31.13 cm
dA: 63.54  dB: 63.49  -> X: 7.69 cm, Y: 30.86 cm
dA: 63.36  dB: 60.58  -> X: 18.98 cm, Y: 25.08 cm
dA: 63.21  dB: 63.34  -> X: 6.95 cm, Y: 30.37 cm
dA: 63.36  dB: 63.91  -> X: 5.17 cm, Y: 31.02 cm
dA: 63.07  dB: 63.91  -> X: 3.94 cm, Y: 30.62 cm
dA: 63.05  dB: 64.19  -> X: 2.67 cm, Y: 30.72 cm
dA: 62.93  dB: 63.92  -> X: 3.34 cm, Y: 30.41 cm
dA: 62.94  dB: 63.76  -> X: 4.02 cm, Y: 30.34 cm
dA: 62.86  dB: 59.78  -> X: 20.10 cm, Y: 22.86 cm
dA: 63.08  dB: 59.76  -> X: 21.10 cm, Y: 22.55 cm
dA: 62.93  dB: 57.90  -> X: 27.79 cm, Y: 12.80 cm
dA: 62.95  dB: 59.72  -> X: 20.71 cm, Y: 22.55 cm
dA: 63.03  dB: 60.25  -> X: 18.89 cm, Y: 24.30 cm
dA: 62.93  dB: 57.47  -> X: 29.43 cm, Y: 8.33 cm
dA: 63.07  dB: 58.56  -> X: 25.79 cm, Y: 16.95 cm
dA: 62.37  dB: 59.26  -> X: 20.11 cm, Y: 21.46 cm
dA: 60.33  dB: 63.91  -> X: -7.30 cm, Y: 23.70 cm
dA: 63.17  dB: 59.45  -> X: 22.73 cm, Y: 21.19 cm
dA: 63.08  dB: 62.81  -> X: 8.63 cm, Y: 29.67 cm
dA: 63.21  dB: 64.04  -> X: 4.01 cm, Y: 30.90 cm
dA: 63.16  dB: 57.48  -> X: 30.37 cm, Y: 6.49 cm
dA: 63.21  dB: 60.24  -> X: 19.73 cm, Y: 24.10 cm
dA: 63.21  dB: 58.58  -> X: 26.30 cm, Y: 16.70 cm
dA: 62.30  dB: 51.39  -> X: 48.86 cm, Y: 0.00 cm
dA: 60.37  dB: 55.17  -> X: 27.54 cm, Y: 0.00 cm
dA: 55.74  dB: 54.81  -> X: 10.95 cm, Y: 0.00 cm
dA: 60.05  dB: 54.98  -> X: 26.92 cm, Y: 0.00 cm
dA: 59.16  dB: 54.27  -> X: 25.96 cm, Y: 0.00 cm
dA: 53.89  dB: 54.90  -> X: 3.81 cm, Y: 0.00 cm
dA: 60.63  dB: 54.96  -> X: 29.35 cm, Y: 0.00 cm
dA: 62.75  dB: 55.55  -> X: 35.86 cm, Y: 0.00 cm
dA: 62.49  dB: 55.23  -> X: 35.99 cm, Y: 0.00 cm
dA: 62.75  dB: 55.51  -> X: 36.01 cm, Y: 0.00 cm
dA: 62.75  dB: 58.17  -> X: 25.93 cm, Y: 15.48 cm
dA: 58.30  dB: 55.26  -> X: 19.01 cm, Y: 3.50 cm
dA: 57.42  dB: 55.41  -> X: 15.07 cm, Y: 6.69 cm
dA: 61.59  dB: 58.17  -> X: 21.15 cm, Y: 17.92 cm
dA: 61.52  dB: 55.65  -> X: 30.43 cm, Y: 0.00 cm
dA: 57.78  dB: 54.83  -> X: 18.57 cm, Y: 0.00 cm
dA: 56.69  dB: 54.63  -> X: 15.16 cm, Y: 0.00 cm
dA: 57.69  dB: 54.71  -> X: 18.68 cm, Y: 0.00 cm
dA: 59.93  dB: 54.71  -> X: 27.44 cm, Y: 0.00 cm
dA: 56.98  dB: 54.67  -> X: 16.12 cm, Y: 0.00 cm
dA: 57.22  dB: 51.72  -> X: 27.45 cm, Y: 0.00 cm
dA: 58.68  dB: 49.62  -> X: 40.21 cm, Y: 0.00 cm
dA: 62.76  dB: 50.00  -> X: 55.44 cm, Y: 0.00 cm
dA: 56.27  dB: 49.57  -> X: 31.16 cm, Y: 0.00 cm
dA: 57.03  dB: 48.78  -> X: 36.59 cm, Y: 0.00 cm
dA: 62.78  dB: 49.79  -> X: 56.24 cm, Y: 0.00 cm
dA: 54.02  dB: 54.79  -> X: 4.68 cm, Y: 0.00 cm
dA: 51.48  dB: 58.17  -> X: -16.97 cm, Y: 0.00 cm
dA: 55.85  dB: 55.83  -> X: 7.59 cm, Y: 6.07 cm
dA: 60.43  dB: 56.21  -> X: 23.92 cm, Y: 7.38 cm
dA: 56.26  dB: 61.21  -> X: -11.89 cm, Y: 0.00 cm
dA: 58.65  dB: 63.76  -> X: -13.33 cm, Y: 15.41 cm
dA: 56.45  dB: 63.87  -> X: -22.26 cm, Y: 0.00 cm
dA: 59.05  dB: 58.37  -> X: 10.16 cm, Y: 18.93 cm
dA: 56.49  dB: 56.35  -> X: 8.02 cm, Y: 10.10 cm
dA: 61.14  dB: 55.69  -> X: 28.74 cm, Y: 0.00 cm
dA: 58.41  dB: 64.01  -> X: -15.36 cm, Y: 12.27 cm
dA: 55.00  dB: 64.04  -> X: -28.36 cm, Y: 0.00 cm
dA: 55.18  dB: 64.04  -> X: -27.71 cm, Y: 0.00 cm
dA: 55.42  dB: 64.04  -> X: -26.85 cm, Y: 0.00 cm
dA: 55.41  dB: 57.94  -> X: -2.07 cm, Y: 6.42 cm
dA: 60.25  dB: 53.26  -> X: 33.95 cm, Y: 0.00 cm
dA: 58.75  dB: 57.24  -> X: 13.34 cm, Y: 15.77 cm
dA: 54.13  dB: 56.94  -> X: -2.91 cm, Y: 0.00 cm
dA: 59.24  dB: 52.79  -> X: 31.58 cm, Y: 0.00 cm
dA: 60.25  dB: 60.99  -> X: 4.54 cm, Y: 24.18 cm
dA: 63.28  dB: 64.04  -> X: 4.27 cm, Y: 31.01 cm
dA: 63.27  dB: 60.84  -> X: 17.53 cm, Y: 25.89 cm
dA: 63.07  dB: 54.81  -> X: 39.96 cm, Y: 0.00 cm
dA: 63.13  dB: 57.48  -> X: 30.23 cm, Y: 6.82 cm
dA: 62.84  dB: 64.09  -> X: 2.23 cm, Y: 30.32 cm
dA: 62.23  dB: 63.35  -> X: 2.83 cm, Y: 28.98 cm
dA: 61.31  dB: 63.49  -> X: -1.56 cm, Y: 27.05 cm
dA: 63.36  dB: 63.62  -> X: 6.41 cm, Y: 30.80 cm
dA: 63.37  dB: 63.34  -> X: 7.62 cm, Y: 30.54 cm
dA: 63.21  dB: 63.80  -> X: 5.03 cm, Y: 30.75 cm
dA: 63.21  dB: 63.76  -> X: 5.18 cm, Y: 30.72 cm
dA: 63.24  dB: 63.77  -> X: 5.25 cm, Y: 30.76 cm
dA: 63.21  dB: 63.91  -> X: 4.54 cm, Y: 30.82 cm
dA: 62.73  dB: 61.32  -> X: 13.34 cm, Y: 27.07 cm
dA: 61.83  dB: 64.13  -> X: -2.17 cm, Y: 28.15 cm
dA: 63.10  dB: 64.04  -> X: 3.50 cm, Y: 30.73 cm
dA: 62.89  dB: 64.04  -> X: 2.64 cm, Y: 30.39 cm
dA: 62.43  dB: 64.18  -> X: 0.09 cm, Y: 29.53 cm
dA: 63.03  dB: 63.86  -> X: 3.97 cm, Y: 30.52 cm
dA: 62.93  dB: 63.76  -> X: 4.00 cm, Y: 30.32 cm
dA: 61.27  dB: 63.76  -> X: -2.89 cm, Y: 26.85 cm
dA: 60.97  dB: 63.99  -> X: -5.05 cm, Y: 25.83 cm
dA: 61.03  dB: 63.34  -> X: -2.10 cm, Y: 26.36 cm
dA: 63.11  dB: 63.47  -> X: 5.96 cm, Y: 30.36 cm
dA: 62.97  dB: 63.24  -> X: 6.35 cm, Y: 30.00 cm
dA: 60.14  dB: 63.48  -> X: -6.26 cm, Y: 23.51 cm
dA: 63.05  dB: 63.76  -> X: 4.50 cm, Y: 30.49 cm
dA: 63.02  dB: 63.76  -> X: 4.36 cm, Y: 30.46 cm
dA: 63.07  dB: 63.75  -> X: 4.60 cm, Y: 30.52 cm
dA: 63.07  dB: 63.51  -> X: 5.67 cm, Y: 30.35 cm
dA: 62.21  dB: 63.62  -> X: 1.60 cm, Y: 29.02 cm
dA: 61.89  dB: 63.76  -> X: -0.33 cm, Y: 28.39 cm
